Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Final Price
Asus,Chromebook,Intel Core i3,8,256,SSD,iGPU,15.6,699.0
MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,17.3,2949.0
Asus,VivoBook,Intel Core i5,16,512,SSD,iGPU,17.3,899.0
HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,1099.0
MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4070,17.3,2099.0
Asus,ExpertBook,Intel Core i7,16,512,SSD,iGPU,15.6,1049.0
Medion,Akoya,AMD Ryzen 7,8,512,SSD,iGPU,15.6,499.0
Asus,VivoBook,Intel Core i5,8,512,SSD,iGPU,14.0,719.01
Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,15.6,2799.99
Apple,MacBook Air,Apple M1,8,256,SSD,iGPU,13.3,1219.0
Asus,Chromebook,Intel Celeron,8,64,eMMC,iGPU,17.3,429.0
Asus,VivoBook,Intel Core i3,8,512,SSD,iGPU,15.6,499.0
HP,Omen,Intel Core i7,16,1000,SSD,RTX 3060,16.1,1599.0
Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,1079.01
Asus,ZenBook,AMD Ryzen 5,16,512,SSD,iGPU,14.0,999.0
MSI,Bravo,AMD Ryzen 5,8,512,SSD,RX 6500M,15.6,869.0
Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,1299.0
MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,15.6,1799.0
MSI,Katana,Intel Core i7,16,512,SSD,RTX 3060,15.6,1299.0
MSI,Modern,Intel Core i7,16,1000,SSD,iGPU,15.6,1169.01
Asus,Chromebook,Intel Core i5,8,256,SSD,iGPU,14.0,899.0
Lenovo,ThinkBook,Intel Core i5,16,512,SSD,iGPU,16.0,1089.0
Asus,ZenBook,AMD Ryzen 7,16,512,SSD,iGPU,14.0,1199.0
Gigabyte,Aero,Intel Core i7,16,2000,SSD,RTX 3070,16.0,2899.0
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,15.3,1599.0
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,499.0
Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,15.6,1499.0
MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 4050,16.0,1899.0
Asus,ZenBook,Intel Evo Core i7,16,512,SSD,iGPU,13.3,1199.0
MSI,Bravo,AMD Ryzen 7,16,512,SSD,RX 6500M,15.6,999.0
Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4050,15.6,1139.01
HP,Chromebook,Intel Celeron,4,64,eMMC,iGPU,15.6,376.0
HP,Omen,Intel Core i7,32,1000,SSD,RTX 4070,17.3,1999.0
Lenovo,Yoga,Intel Evo Core i5,16,512,SSD,iGPU,14.5,1529.0
Asus,ExpertBook,Intel Core i5,16,512,SSD,iGPU,15.6,799.0
MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 3060,17.3,1599.0
Acer,Aspire,Intel Core i5,8,512,SSD,MX 550,15.6,1209.01
Lenovo,V15,Intel Core i7,16,512,SSD,iGPU,15.6,699.0
Lenovo,ThinkBook,Intel Core i5,8,256,SSD,iGPU,14.0,1163.02
Asus,VivoBook,Intel Core i3,8,512,SSD,iGPU,15.6,499.0
Asus,ExpertBook,Intel Core i5,8,256,SSD,iGPU,15.6,609.0
Asus,VivoBook,Intel Core i5,8,512,SSD,iGPU,14.0,899.0
Lenovo,IdeaPad,Intel Core i7,8,512,SSD,iGPU,14.0,999.0
MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,14.0,2549.01
MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,16.0,2599.01
Samsung,Galaxy Book,Intel Core i7,16,512,SSD,iGPU,13.3,1549.0
Asus,ExpertBook,Intel Core i7,8,512,SSD,iGPU,15.6,849.0
